BAT ID,Broad Halpha Flux,Distance,Intrinsic 14-150 Flux,NH,Type,Intrinsic X-ray Luminosity
269.0,524.5509153,54.71,42.4,20.0,1.5,1.5188014169e+43
270.0,,155.74,33.5,20.41,1,9.72404265508e+43
274.0,1907.298513,220.7,15.7,20.0,1.5,9.15178958087e+43
279.0,,122.31,12.4,23.3,2,2.21997112158e+43
285.0,,105.69,12.4,21.48,1.2,1.65764370397e+43
291.0,95.1845604,90.75,13.5,20.0,1.5,1.33054247581e+43
301.0,189.1682853,40.03,17.9,20.0,1,3.43262150264e+42
302.0,,199.72,6.7,22.81,2,3.19830314365e+43
303.0,,305.85,22.7,22.28,2,2.54123328067e+44
304.0,139.0844536,159.17,22.5,23.45,2,6.82192056503e+43
308.0,,35.6,93.8,22.95,2,1.42267120619e+43
310.0,6037.267836,88.24,116.3,20.46,1.5,1.08370835359e+44
313.0,764.1627296,152.91,23.8,20.0,1.2,6.65963521554e+43
314.0,,651.89,15.4,20.0,1,7.83197092112e+44
316.0,10453.66669,145.86,54.6,20.81,1.2,1.3901663396e+44
317.0,204.9793084,76.68,16.4,23.32,2,1.15401050952e+43
318.0,,414.77,10.0,20.0,1.5,2.05881052987e+44
319.0,,22.4,55.8,24.34,2,3.35067220527e+42
325.0,2139.39803,58.73,244.5,24.07,1.9,1.00925421679e+44
329.0,,180.74,28.0,23.31,2,1.09463239002e+44
330.0,,98.73,37.6,23.99,2,4.38619389856e+43
334.0,107.4070988,172.23,9.2,21.06,1.9,3.26593199963e+43
337.0,,180.26,10.3,20.0,2,4.0053241172e+43
338.0,318.4046053,524.93,9.0,20.0,1,2.96788455793e+44
342.0,499.8814206,109.55,31.8,21.48,1.2,4.56723745162e+43
344.0,,275.51,15.8,23.0,2,1.43526973772e+44
345.0,,218.08,31.1,23.12,2,1.7700835803e+44
347.0,3690.143946,83.44,50.9,20.76,1.5,4.24099812693e+43
348.0,598.4105751,105.53,16.2,21.32,1.9,2.15907932304e+43
349.0,144.656051,74.15,18.5,21.4,1.9,1.21729474336e+43
350.0,,182.97,15.0,24.03,2,6.00969930559e+43
353.0,,421.81,10.5,22.98,2,2.23575777412e+44
358.0,,209.9,11.7,22.4,2,6.16896699052e+43
360.0,,519.31,17.2,22.44,2,5.55115719391e+44
362.0,,69.12,38.2,24.8,1.9,2.18410005267e+43
363.0,,270.53,7.3,22.94,1.2,6.39374678435e+43
372.0,1168.174146,574.0,17.2,21.7,1.9,6.78193993653e+44
376.0,774.2314189,678.02,9.2,20.0,1,5.06144525996e+44
378.0,671.583045,177.67,7.4,20.46,1.2,2.79551374471e+43
379.0,,116.67,21.7,23.46,2,3.53492201439e+43
382.0,1862.136871,97.33,39.2,20.0,1.5,4.44407337899e+43
383.0,,162.72,10.5,24.11,2,3.32715380618e+43
384.0,400.6373596,105.06,18.1,20.95,1.2,2.39086511492e+43
385.0,,70.29,18.4,23.66,2,1.0879441897e+43
389.0,,130.04,12.8,20.53,1.5,2.5903926478e+43
390.0,,159.71,14.8,23.56,2,4.51780666967e+43
394.0,,552.11,11.9,22.54,1.5,4.34110105216e+44
395.0,42.5193224,232.21,12.0,20.0,1.9,7.74363350857e+43
398.0,2668.816614,179.27,42.9,20.0,1.2,1.64996311871e+44
399.0,11.43128791,127.98,26.4,22.22,1.9,5.17475563356e+43
400.0,27.84928258,117.23,26.2,22.06,1.9,4.30904003163e+43
403.0,267.3044561,211.31,15.1,21.2,1.5,8.06898215143e+43
404.0,253.2688237,59.18,53.8,23.4,1.9,2.25493436253e+43
405.0,,154.82,14.6,23.02,2,4.18801944557e+43
406.0,,423.09,13.4,23.46,2,2.87059568103e+44
408.0,47.19488492,101.97,18.9,24.29,2,2.35184312842e+43
409.0,,459.67,12.7,20.64,1,3.21142474936e+44
411.0,343.7519328,152.12,19.2,23.04,1.2,5.31710907685e+43
413.0,,410.84,17.7,20.0,1,3.57536525112e+44
416.0,,97.83,47.1,23.53,2,5.39469283441e+43
418.0,,598.67,10.9,21.11,1.5,4.67523232339e+44
419.0,88.20220856,154.04,10.2,23.76,1.2,2.89646909602e+43
420.0,441.1792393,427.02,14.1,20.0,1.2,3.07692742372e+44
425.0,,978.79,22.0,20.0,1,2.52233888769e+45
426.0,,293.91,21.1,23.8,2,2.18128738795e+44
429.0,261.2311536,636.05,14.2,21.78,1.5,6.87499783546e+44
430.0,,242.98,12.3,23.61,2,8.69056224248e+43
431.0,439.6375176,654.72,10.9,20.0,1,5.59164280479e+44
432.0,167.2304059,274.78,16.2,21.85,1.9,1.46381758612e+44
