,Broad Halpha Flux,Distance,Intrinsic 14-150 Flux,NH,Type,Intrinsic X-ray Luminosity,Broad Halpha Luminosity
1,9.522972138,166.82,10.8,22.19,1.9,3.59684478178e+43,3.17154191126e+40
2,173.1744493,264.36,9.0,20.0,1.9,7.5272389588e+43,1.44836162382e+42
5,72.43874572,447.51,10.6,22.61,1.9,2.54046409698e+44,1.73611351634e+42
6,1929.256868,114.42,14.2,20.48,1.2,2.22481517818e+43,3.02270419897e+42
8,1076.613573,412.83,26.8,21.04,1.5,5.46611797286e+44,2.19585701537e+43
14,234.0883518,286.6,12.7,20.0,1.9,1.24841161484e+44,2.30109147469e+42
18,319.280415,485.94,11.8,22.0,1.9,3.33464044629e+44,9.02275750481e+42
28,53.67858367,97.07,45.7,23.5,1.9,5.15333015244e+43,6.05302984173e+40
33,110.2421623,65.68,139.3,23.12,1.9,7.19149382901e+43,5.69135556265e+40
43,491.3930521,66.35,23.9,20.0,1.2,1.25916157699e+43,2.5888838929e+41
45,92.5382273,318.18,9.1,20.0,1.2,1.10252603787e+44,1.12116269337e+42
51,657.5667903,303.62,10.6,20.0,1.5,1.16941409634e+44,7.25441390438e+42
58,133.1906761,47.48,67.0,24.33,1.9,1.80758167864e+43,3.59332874454e+40
60,296.1530406,219.38,14.4,23.03,1.2,8.29388986153e+43,1.70573659784e+42
61,634.6927623,238.57,22.7,20.0,1.2,1.54617706092e+44,4.32311625461e+42
73,861.5815176,205.97,44.2,20.0,1.2,2.24404682504e+44,4.37427436444e+42
77,190.5169924,73.11,11.2,20.61,1.5,7.16429232295e+42,1.21867805897e+41
79,8.448859593,172.56,11.7,23.3,1.9,4.16934500303e+43,3.01078722439e+40
80,183.5400731,1010.99,13.9,24.13,2,1.70023999324e+45,2.24505160177e+43
85,108.8861679,363.53,20.0,20.0,1.2,3.16309485715e+44,1.72208638849e+42
88,44.41927462,331.98,5.0,20.0,1.9,6.59470773213e+43,5.85864267584e+41
94,137.1413681,132.02,10.4,20.0,1.2,2.16927446249e+43,2.86055064971e+41
95,239.7979109,147.55,7.5,20.0,1.2,1.95407576507e+43,6.24777714938e+41
99,442.4960791,214.31,13.9,20.0,1,7.64014111779e+43,2.43218164633e+42
106,331.2692073,192.03,27.0,20.0,1.2,1.19152630741e+44,1.46191101975e+42
111,406.3255501,612.4,7.9,20.0,1.2,3.54567693967e+44,1.8236697886e+43
116,302.3964876,117.41,13.5,20.0,1.5,2.22713043107e+43,4.98871422062e+41
126,132.1225334,257.72,11.9,20.0,1.2,9.45899322093e+43,1.05020684686e+42
127,479.9261213,270.88,11.6,20.57,1.2,1.01862323485e+44,4.21434394972e+42
129,1289.803998,71.41,53.5,21.09,1.5,3.26492760331e+43,7.87124612323e+41
130,718.4468945,69.62,9.8,20.0,1,5.68454646952e+42,4.16739260986e+41
131,46.89538688,72.94,20.7,23.87,1.9,1.31796407029e+43,2.9858181145e+40
134,1566.276392,192.19,26.8,20.92,1.5,1.18467186671e+44,6.9235954369e+42
135,1756.857173,271.31,17.8,20.0,1.9,1.5680261911e+44,1.54763936028e+43
138,383.4578071,277.52,11.8,20.41,1.2,1.08760773712e+44,3.53433625307e+42
140,185.979812,19.482,24.0,22.95,1.9,1.09013435698e+42,8.44762428194e+39
144,4027.84704,12.65,180.3,24.95,1.9,3.45285614769e+42,7.71357538214e+40
150,47.59751063,93.94,17.7,22.46,1.9,1.86928742981e+43,5.0267473622e+40
164,175.8812115,122.78,10.8,20.3,1,1.94841166525e+43,3.17304633504e+41
167,144.5215028,300.68,18.9,20.82,1.2,2.04490244783e+44,1.56366335894e+42
169,1433.055064,282.8,8.9,21.08,1.5,8.51825279393e+43,1.37158711267e+43
170,52.01973455,640.21,14.1,21.2,1.5,6.91617107302e+44,2.55161264767e+42
173,1573.408672,84.25,69.3,21.68,1.5,5.88673873195e+43,1.33654340125e+42
180,608.6968867,204.91,10.0,20.0,1.9,5.02490683555e+43,3.05864514676e+42
183,590.2411855,246.52,20.9,21.36,1.5,1.52003053285e+44,4.29274939572e+42
185,126.5241461,154.63,10.7,20.0,1.5,3.06177305634e+43,3.62045066827e+41
189,2231.611444,62.96,39.4,20.0,1,1.86907775191e+43,1.05864347738e+42
190,29.62667667,178.5,9.4,20.0,1.2,3.5843136155e+43,1.12969468692e+41
194,244.6601177,265.24,10.2,20.0,1,8.58776037382e+43,2.05988476847e+42
197,469.8963384,157.64,11.1,20.0,1.5,3.30109132011e+43,1.39745110274e+42
199,25.18773913,503.04,19.3,24.17,1.9,5.84472465723e+44,7.6277409302e+41
207,194.8498798,248.93,9.2,20.0,1.9,6.82250736309e+43,1.44496167351e+42
213,1353.543463,177.99,16.4,20.0,1.5,6.21780018756e+43,5.1317456086e+42
216,370.0161612,12.234,17.6,20.0,1.5,3.15247265126e+41,6.62764675403e+39
220,596.5257045,485.7,21.5,20.0,1.5,6.0698278552e+44,1.68409690117e+43
224,684.8023796,319.0,9.3,20.0,1.2,1.13257252564e+44,8.33965979172e+42
228,1575.382876,153.75,14.7,20.95,1.2,4.15862050977e+43,4.45674798563e+42
230,382.314707,159.6,15.7,20.9,1.2,4.78593872424e+43,1.16543615355e+42
232,1220.561845,167.19,17.9,21.34,1.5,5.98791096318e+43,4.08302550442e+42
239,40.48322712,69.01,16.6,23.78,1.9,9.46093045994e+42,2.30728311191e+40
242,297.2422917,68.32,26.0,20.0,1.5,1.45234826689e+43,1.66038202768e+41
243,190.4369523,419.46,18.0,21.38,1.9,3.79014057069e+44,4.0099045504e+42
244,271.9237463,126.89,51.4,21.23,1.5,9.90420500729e+43,5.23966640021e+41
254,1750.670392,262.95,18.1,20.0,1.5,1.4977062173e+44,1.4486132213e+43
261,504.9001267,76.0,80.8,21.08,1.5,5.58521959239e+43,3.490071881e+41
266,6811.688894,143.93,59.5,20.0,1,1.47509952781e+44,1.68872589431e+43
268,1235.726374,126.78,13.0,20.7,1,2.50061340322e+43,2.37697994888e+42
269,524.5509153,54.71,42.4,20.0,1.5,1.5188014169e+43,1.87898272027e+41
274,1907.298513,220.7,15.7,20.0,1.5,9.15178958087e+43,1.11179583815e+43
291,95.1845604,90.75,13.5,20.0,1.5,1.33054247581e+43,9.38126671511e+40
301,189.1682853,40.03,17.9,20.0,1,3.43262150264e+42,3.62761521641e+40
304,139.0844536,159.17,22.5,23.45,2,6.82192056503e+43,4.21699153018e+41
310,6037.267836,88.24,116.3,20.46,1.5,1.08370835359e+44,5.62565570656e+42
313,764.1627296,152.91,23.8,20.0,1.2,6.65963521554e+43,2.13825421195e+42
316,10453.66669,145.86,54.6,20.81,1.2,1.3901663396e+44,2.66159991902e+43
317,204.9793084,76.68,16.4,23.32,2,1.15401050952e+43,1.44236753736e+41
325,2139.39803,58.73,244.5,24.07,1.9,1.00925421679e+44,8.8310694608e+41
334,107.4070988,172.23,9.2,21.06,1.9,3.26593199963e+43,3.81287261911e+41
338,318.4046053,524.93,9.0,20.0,1,2.96788455793e+44,1.04998679027e+43
342,499.8814206,109.55,31.8,21.48,1.2,4.56723745162e+43,7.17948787904e+41
347,3690.143946,83.44,50.9,20.76,1.5,4.24099812693e+43,3.07463527762e+42
348,598.4105751,105.53,16.2,21.32,1.9,2.15907932304e+43,7.97540678634e+41
349,144.656051,74.15,18.5,21.4,1.9,1.21729474336e+43,9.51832705283e+40
372,1168.174146,574.0,17.2,21.7,1.9,6.78193993653e+44,4.60609703115e+43
376,774.2314189,678.02,9.2,20.0,1,5.06144525996e+44,4.25948907098e+43
378,671.583045,177.67,7.4,20.46,1.2,2.79551374471e+43,2.53705355812e+42
382,1862.136871,97.33,39.2,20.0,1.5,4.44407337899e+43,2.11109002461e+42
384,400.6373596,105.06,18.1,20.95,1.2,2.39086511492e+43,5.2920988221e+41
395,42.5193224,232.21,12.0,20.0,1.9,7.74363350857e+43,2.74378374749e+41
398,2668.816614,179.27,42.9,20.0,1.2,1.64996311871e+44,1.02644498455e+43
399,11.43128791,127.98,26.4,22.22,1.9,5.17475563356e+43,2.24068642087e+40
400,27.84928258,117.23,26.2,22.06,1.9,4.30904003163e+43,4.58029288128e+40
403,267.3044561,211.31,15.1,21.2,1.5,8.06898215143e+43,1.42839396375e+42
404,253.2688237,59.18,53.8,23.4,1.9,2.25493436253e+43,1.06153266453e+41
408,47.19488492,101.97,18.9,24.29,2,2.35184312842e+43,5.87274951299e+40
411,343.7519328,152.12,19.2,23.04,1.2,5.31710907685e+43,9.51961730247e+41
419,88.20220856,154.04,10.2,23.76,1.2,2.89646909602e+43,2.50465658132e+41
420,441.1792393,427.02,14.1,20.0,1.2,3.07692742372e+44,9.62749290907e+42
429,261.2311536,636.05,14.2,21.78,1.5,6.87499783546e+44,1.26476310955e+43
431,439.6375176,654.72,10.9,20.0,1,5.59164280479e+44,2.25531739633e+43
432,167.2304059,274.78,16.2,21.85,1.9,1.46381758612e+44,1.51107906846e+42
439,32.02070079,48.01,10.5,23.08,1.9,2.89637252084e+42,8.83275027296e+39
443,212.8510624,166.53,13.4,20.0,1.2,4.44724924382e+43,7.06419198735e+41
447,9700.556344,257.46,27.3,20.0,1,2.16562813184e+44,7.69516399744e+43
448,65.54310866,394.51,11.1,21.41,2,2.06747715077e+44,1.22080071662e+42
449,2067.595301,130.44,28.5,20.0,1.2,5.80320814458e+43,4.21006522472e+42
455,1009.570552,147.59,34.2,20.0,1.2,8.9154173658e+43,2.6317961495e+42
457,22.5831729,285.22,8.3,22.4,1.9,8.08052821316e+43,2.19860199712e+41
458,483.9504247,157.81,50.0,20.0,1.5,1.49018693504e+44,1.44235320019e+42
459,2.571052345,1287.49,7.7,20.0,1.9,1.52749628167e+45,5.10035441163e+41
460,519.0623601,127.87,13.7,20.0,1.2,2.68077031012e+43,1.01568391537e+42
461,163.7110247,118.1,12.4,20.0,1.2,2.06977524256e+43,2.73262117628e+41
466,343.2723195,578.25,11.4,20.0,1.2,4.56181681502e+44,1.3736363502e+43
467,19.64868228,175.34,31.5,24.35,1.9,1.15897552762e+44,7.22931489285e+40
470,141.3096218,95.24,10.3,20.78,1.5,1.11809242623e+43,1.53395357173e+41
471,80.47902966,31.6,19.0,21.72,1.9,2.27054165426e+42,9.6174204809e+39
472,52.26360331,36.16,174.0,22.18,1.9,2.7227502047e+43,8.17820325349e+39
473,446.5043145,398.15,20.9,20.0,1.2,3.96498395046e+44,8.47072938185e+42
476,389.6082561,1287.3,14.6,23.07,1.9,2.89543687956e+45,7.72661721434e+43
